半导体	semiconductor
"3551","weight","农业","橡胶制品",1.49466212078943e-10,4.7e-07,"1.5e-10","****","Wilcoxon"
"3552","weight","农业","消费电子设备",0.804336421371339,1,"0.80434","ns","Wilcoxon"
"3553","weight","农业","小家电",1.51584788567093e-16,5.3e-13,"< 2e-16","****","Wilcoxon"
"3554","weight","农业","休闲服务",0.469812778827848,1,"0.46981","ns","Wilcoxon"
"3555","weight","农业","医疗服务",0.217784733928739,1,"0.21778","ns","Wilcoxon"
"3556","weight","农业","医疗器械",0.000214541021134427,0.5,"0.00021","***","Wilcoxon"
"3557","weight","农业","医药商业",1.43683866248527e-05,0.037,"1.4e-05","****","Wilcoxon"
"3558","weight","农业","银行",0.00635011862297999,1,"0.00635","**","Wilcoxon"
"3559","weight","农业","饮料",0.000270840034982541,0.62,"0.00027","***","Wilcoxon"
"3560","weight","农业","营销服务",1.1229976555928e-05,0.029,"1.1e-05","****","Wilcoxon"
"3561","weight","农业","影视动漫",0.65129717691551,1,"0.65130","ns","Wilcoxon"
"3562","weight","农业","渔业",0.209987014057514,1,"0.20999","ns","Wilcoxon"
"3563","weight","农业","造纸印刷",4.38117111701387e-19,1.6e-15,"< 2e-16","****","Wilcoxon"
"3564","weight","农业","照明设备",1.69964853250987e-09,5.2e-06,"1.7e-09","****","Wilcoxon"
"3565","weight","农业","中药生产",0.62000563340845,1,"0.62001","ns","Wilcoxon"
"3566","weight","农业","珠宝首饰",1.97147917178607e-16,6.9e-13,"< 2e-16","****","Wilcoxon"
"3567","weight","农业","专业服务",3.83843072951653e-15,1.3e-11,"3.8e-15","****","Wilcoxon"
"3568","weight","农业","专用设备",8.05448621139813e-06,0.021,"8.1e-06","****","Wilcoxon"
"3569","weight","农业","装修装饰",4.88685919860223e-09,1.5e-05,"4.9e-09","****","Wilcoxon"
"3570","weight","农业","综合",2.72106232259011e-13,9.1e-10,"2.7e-13","****","Wilcoxon"
"3571","weight","平面媒体","其他电气设备",0.669126126572069,1,"0.66913","ns","Wilcoxon"
"3572","weight","平面媒体","其他家电",0.333973264850194,1,"0.33397","ns","Wilcoxon"
"3573","weight","平面媒体","其他建材",0.14632364497592,1,"0.14632","ns","Wilcoxon"
"3574","weight","平面媒体","其他交运设备",0.416123428652161,1,"0.41612","ns","Wilcoxon"
"3575","weight","平面媒体","其他轻工",0.933652132902121,1,"0.93365","ns","Wilcoxon"
"3576","weight","平面媒体","汽车",0.540674029248866,1,"0.54067","ns","Wilcoxon"
"3577","weight","平面媒体","燃气",0.280103166229705,1,"0.28010","ns","Wilcoxon"
"3578","weight","平面媒体","商业物业经营",0.0896860217703646,1,"0.08969","ns","Wilcoxon"
"3579","weight","平面媒体","生物医药",0.1861033567354,1,"0.18610","ns","Wilcoxon"
"3580","weight","平面媒体","石油天然气",0.47790792869555,1,"0.47791","ns","Wilcoxon"
"3581","weight","平面媒体","食品",0.186656264974769,1,"0.18666","ns","Wilcoxon"
"3582","weight","平面媒体","视听器材",0.92829342920248,1,"0.92829","ns","Wilcoxon"
"3583","weight","平面媒体","输变电设备",0.499619442384623,1,"0.49962","ns","Wilcoxon"
"3584","weight","平面媒体","水泥",0.266994971055128,1,"0.26699","ns","Wilcoxon"
"3585","weight","平面媒体","水务",0.871255635932054,1,"0.87126","ns","Wilcoxon"
"3586","weight","平面媒体","陶瓷",0.850456025587746,1,"0.85046","ns","Wilcoxon"
"3587","weight","平面媒体","铁矿石",1,1,"1.00000","ns","Wilcoxon"
"3588","weight","平面媒体","铁路设备",0.948431091354173,1,"0.94843","ns","Wilcoxon"
"3589","weight","平面媒体","通信设备",0.863374634830038,1,"0.86337","ns","Wilcoxon"
"3590","weight","平面媒体","通用设备",0.330308043209228,1,"0.33031","ns","Wilcoxon"
"3591","weight","平面媒体","卫星应用",0.562574177759195,1,"0.56257","ns","Wilcoxon"
"3592","weight","平面媒体","文娱用品",0.218569805200643,1,"0.21857","ns","Wilcoxon"
"3593","weight","平面媒体","物流",0.515145169329302,1,"0.51515","ns","Wilcoxon"
"3594","weight","平面媒体","稀有金属",0.264359186207828,1,"0.26436","ns","Wilcoxon"
"3595","weight","平面媒体","橡胶制品",0.709898479180599,1,"0.70990","ns","Wilcoxon"
"3596","weight","平面媒体","消费电子设备",0.128924302994844,1,"0.12892","ns","Wilcoxon"
"3597","weight","平面媒体","小家电",0.556599622003042,1,"0.55660","ns","Wilcoxon"
"3598","weight","平面媒体","休闲服务",0.840427397735947,1,"0.84043","ns","Wilcoxon"
"3599","weight","平面媒体","医疗服务",0.0405522972964639,1,"0.04055","*","Wilcoxon"
"3600","weight","平面媒体","医疗器械",0.276579563574228,1,"0.27658","ns","Wilcoxon"
"3601","weight","平面媒体","医药商业",0.0826833197643197,1,"0.08268","ns","Wilcoxon"
"3602","weight","平面媒体","银行",0.180220522180664,1,"0.18022","ns","Wilcoxon"
"3603","weight","平面媒体","饮料",0.248136898027235,1,"0.24814","ns","Wilcoxon"
"3604","weight","平面媒体","营销服务",0.375258477197157,1,"0.37526","ns","Wilcoxon"
"3605","weight","平面媒体","影视动漫",0.0394687627833912,1,"0.03947","*","Wilcoxon"
"3606","weight","平面媒体","渔业",0.248213078989923,1,"0.24821","ns","Wilcoxon"
"3607","weight","平面媒体","造纸印刷",0.937267413439628,1,"0.93727","ns","Wilcoxon"
"3608","weight","平面媒体","照明设备",0.955555684807805,1,"0.95556","ns","Wilcoxon"
"3609","weight","平面媒体","中药生产",0.110326442779447,1,"0.11033","ns","Wilcoxon"
"3610","weight","平面媒体","珠宝首饰",4.25139440824912e-08,0.00012,"4.3e-08","****","Wilcoxon"
"3611","weight","平面媒体","专业服务",0.560015091509899,1,"0.56002","ns","Wilcoxon"
"3612","weight","平面媒体","专用设备",0.314147942406624,1,"0.31415","ns","Wilcoxon"
"3613","weight","平面媒体","装修装饰",0.384993177202295,1,"0.38499","ns","Wilcoxon"
"3614","weight","平面媒体","综合",0.402823999413238,1,"0.40282","ns","Wilcoxon"
"3615","weight","其他电气设备","其他家电",0.0277018511674489,1,"0.02770","*","Wilcoxon"
"3616","weight","其他电气设备","其他建材",1.73049753206065e-26,6.7e-23,"< 2e-16","****","Wilcoxon"
"3617","weight","其他电气设备","其他交运设备",0.142986797664466,1,"0.14299","ns","Wilcoxon"
"3618","weight","其他电气设备","其他轻工",0.493547730225819,1,"0.49355","ns","Wilcoxon"
"3619","weight","其他电气设备","汽车",0.292576885347929,1,"0.29258","ns","Wilcoxon"
"3620","weight","其他电气设备","燃气",1.52669638348388e-08,4.5e-05,"1.5e-08","****","Wilcoxon"
"3621","weight","其他电气设备","商业物业经营",0.319595712908435,1,"0.31960","ns","Wilcoxon"
"3622","weight","其他电气设备","生物医药",3.44264990360955e-09,1e-05,"3.4e-09","****","Wilcoxon"
"3623","weight","其他电气设备","石油天然气",0.583662625144727,1,"0.58366","ns","Wilcoxon"
"3624","weight","其他电气设备","食品",5.55714328127968e-45,2.3e-41,"< 2e-16","****","Wilcoxon"
"3625","weight","其他电气设备","视听器材",0.0166874312832315,1,"0.01669","*","Wilcoxon"
"3626","weight","其他电气设备","输变电设备",1.00130137043224e-05,0.026,"1.0e-05","****","Wilcoxon"
"3627","weight","其他电气设备","水泥",3.20594505112007e-05,0.08,"3.2e-05","****","Wilcoxon"
"3628","weight","其他电气设备","水务",0.00486595617480791,1,"0.00487","**","Wilcoxon"
"3629","weight","其他电气设备","陶瓷",0.0369116391049701,1,"0.03691","*","Wilcoxon"
"3630","weight","其他电气设备","铁矿石",0.943917186521549,1,"0.94392","ns","Wilcoxon"
"3631","weight","其他电气设备","铁路设备",0.000653646355372239,1,"0.00065","***","Wilcoxon"
"3632","weight","其他电气设备","通信设备",0.24222931394567,1,"0.24223","ns","Wilcoxon"
"3633","weight","其他电气设备","通用设备",2.49602030400142e-15,8.6e-12,"2.5e-15","****","Wilcoxon"
"3634","weight","其他电气设备","卫星应用",0.582720231747357,1,"0.58272","ns","Wilcoxon"
"3635","weight","其他电气设备","文娱用品",4.59379911392596e-10,1.4e-06,"4.6e-10","****","Wilcoxon"
"3636","weight","其他电气设备","物流",4.8950543015528e-05,0.12,"4.9e-05","****","Wilcoxon"
"3637","weight","其他电气设备","稀有金属",0.000566624883850112,1,"0.00057","***","Wilcoxon"
"3638","weight","其他电气设备","橡胶制品",0.794615095216989,1,"0.79462","ns","Wilcoxon"
"3639","weight","其他电气设备","消费电子设备",1.28255045063588e-13,4.3e-10,"1.3e-13","****","Wilcoxon"
"3640","weight","其他电气设备","小家电",0.0449982206152738,1,"0.04500","*","Wilcoxon"
"3641","weight","其他电气设备","休闲服务",0.203833612552991,1,"0.20383","ns","Wilcoxon"
"3642","weight","其他电气设备","医疗服务",3.41832040547683e-09,1e-05,"3.4e-09","****","Wilcoxon"
"3643","weight","其他电气设备","医疗器械",3.98053338147171e-13,1.3e-09,"4.0e-13","****","Wilcoxon"
"3644","weight","其他电气设备","医药商业",1.6489783217992e-50,6.9e-47,"< 2e-16","****","Wilcoxon"
"3645","weight","其他电气设备","银行",2.60428569073598e-16,9.1e-13,"2.6e-16","****","Wilcoxon"
"3646","weight","其他电气设备","饮料",0.142756020546619,1,"0.14276","ns","Wilcoxon"
"3647","weight","其他电气设备","营销服务",0.107428579310946,1,"0.10743","ns","Wilcoxon"
"3648","weight","其他电气设备","影视动漫",2.40144190873733e-07,0.00068,"2.4e-07","****","Wilcoxon"
"3649","weight","其他电气设备","渔业",0.203992070319971,1,"0.20399","ns","Wilcoxon"
"3650","weight","其他电气设备","造纸印刷",0.00221487265576682,1,"0.00221","**","Wilcoxon"
"3651","weight","其他电气设备","照明设备",0.292226882318613,1,"0.29223","ns","Wilcoxon"
"3652","weight","其他电气设备","中药生产",1.15114828440525e-29,4.5e-26,"< 2e-16","****","Wilcoxon"
"3653","weight","其他电气设备","珠宝首饰",6.82670472792968e-21,2.5e-17,"< 2e-16","****","Wilcoxon"
"3654","weight","其他电气设备","专业服务",0.690494351738873,1,"0.69049","ns","Wilcoxon"
"3655","weight","其他电气设备","专用设备",1.05239745151758e-12,3.5e-09,"1.1e-12","****","Wilcoxon"
"3656","weight","其他电气设备","装修装饰",0.327180477081418,1,"0.32718","ns","Wilcoxon"
"3657","weight","其他电气设备","综合",0.304449893269917,1,"0.30445","ns","Wilcoxon"
"3658","weight","其他家电","其他建材",7.99088951616274e-09,2.4e-05,"8.0e-09","****","Wilcoxon"
"3659","weight","其他家电","其他交运设备",0.927251393917055,1,"0.92725","ns","Wilcoxon"
"3660","weight","其他家电","其他轻工",0.0257719643946133,1,"0.02577","*","Wilcoxon"
"3661","weight","其他家电","汽车",0.142603630443221,1,"0.14260","ns","Wilcoxon"
"3662","weight","其他家电","燃气",0.00537747142930705,1,"0.00538","**","Wilcoxon"
"3663","weight","其他家电","商业物业经营",0.318312238992724,1,"0.31831","ns","Wilcoxon"
"3664","weight","其他家电","生物医药",2.16098995904935e-06,0.0058,"2.2e-06","****","Wilcoxon"
"3665","weight","其他家电","石油天然气",0.0356338648627814,1,"0.03563","*","Wilcoxon"
"3666","weight","其他家电","食品",4.23825420649454e-14,1.4e-10,"4.2e-14","****","Wilcoxon"
"3667","weight","其他家电","视听器材",5.6257038978691e-07,0.0016,"5.6e-07","****","Wilcoxon"
"3668","weight","其他家电","输变电设备",0.391478240013482,1,"0.39148","ns","Wilcoxon"
"3669","weight","其他家电","水泥",0.134745638731935,1,"0.13475","ns","Wilcoxon"
"3670","weight","其他家电","水务",0.952193581754543,1,"0.95219","ns","Wilcoxon"
"3671","weight","其他家电","陶瓷",0.000240038867726042,0.55,"0.00024","***","Wilcoxon"
"3672","weight","其他家电","铁矿石",0.578412587507266,1,"0.57841","ns","Wilcoxon"
"3673","weight","其他家电","铁路设备",1.14068484739217e-05,0.029,"1.1e-05","****","Wilcoxon"
"3674","weight","其他家电","通信设备",9.45859960785567e-05,0.23,"9.5e-05","****","Wilcoxon"
"3675","weight","其他家电","通用设备",0.00480468744665598,1,"0.00480","**","Wilcoxon"
"3676","weight","其他家电","卫星应用",0.366261752249947,1,"0.36626","ns","Wilcoxon"
"3677","weight","其他家电","文娱用品",1.9406360546572e-06,0.0052,"1.9e-06","****","Wilcoxon"
"3678","weight","其他家电","物流",0.588622788415502,1,"0.58862","ns","Wilcoxon"
"3679","weight","其他家电","稀有金属",0.406507068691033,1,"0.40651","ns","Wilcoxon"
"3680","weight","其他家电","橡胶制品",0.0114350806200973,1,"0.01144","*","Wilcoxon"
"3681","weight","其他家电","消费电子设备",2.58048386189672e-08,7.6e-05,"2.6e-08","****","Wilcoxon"
"3682","weight","其他家电","小家电",0.00138320115900083,1,"0.00138","**","Wilcoxon"
"3683","weight","其他家电","休闲服务",0.640712051714054,1,"0.64071","ns","Wilcoxon"
"3684","weight","其他家电","医疗服务",3.31496565983618e-08,9.7e-05,"3.3e-08","****","Wilcoxon"
"3685","weight","其他家电","医疗器械",0.00147918562842675,1,"0.00148","**","Wilcoxon"
"3686","weight","其他家电","医药商业",2.91697252072922e-24,1.1e-20,"< 2e-16","****","Wilcoxon"
"3687","weight","其他家电","银行",5.29430164344652e-05,0.13,"5.3e-05","****","Wilcoxon"
"3688","weight","其他家电","饮料",0.619527666855322,1,"0.61953","ns","Wilcoxon"
"3689","weight","其他家电","营销服务",0.579396293775651,1,"0.57940","ns","Wilcoxon"
"3690","weight","其他家电","影视动漫",0.000366439712275078,0.83,"0.00037","***","Wilcoxon"
"3691","weight","其他家电","渔业",0.340083704597664,1,"0.34008","ns","Wilcoxon"
"3692","weight","其他家电","造纸印刷",1.93765362253911e-09,5.9e-06,"1.9e-09","****","Wilcoxon"
"3693","weight","其他家电","照明设备",6.65635272755512e-05,0.16,"6.7e-05","****","Wilcoxon"
"3694","weight","其他家电","中药生产",1.82409606291471e-13,6.1e-10,"1.8e-13","****","Wilcoxon"
"3695","weight","其他家电","珠宝首饰",1.49117293473385e-18,5.4e-15,"< 2e-16","****","Wilcoxon"
"3696","weight","其他家电","专业服务",0.00407253008063032,1,"0.00407","**","Wilcoxon"
"3697","weight","其他家电","专用设备",0.0393598877358805,1,"0.03936","*","Wilcoxon"
"3698","weight","其他家电","装修装饰",0.633279177083375,1,"0.63328","ns","Wilcoxon"
"3699","weight","其他家电","综合",0.028323954988858,1,"0.02832","*","Wilcoxon"
"3700","weight","其他建材","其他交运设备",1.22598695497088e-07,0.00035,"1.2e-07","****","Wilcoxon"
"3701","weight","其他建材","其他轻工",0.00159823607751141,1,"0.00160","**","Wilcoxon"
"3702","weight","其他建材","汽车",1.31607172667704e-48,5.5e-45,"< 2e-16","****","Wilcoxon"
"3703","weight","其他建材","燃气",0.0548814752506162,1,"0.05488","ns","Wilcoxon"
"3704","weight","其他建材","商业物业经营",0.0233510647127769,1,"0.02335","*","Wilcoxon"
"3705","weight","其他建材","生物医药",0.0224811466032415,1,"0.02248","*","Wilcoxon"
"3706","weight","其他建材","石油天然气",6.80741433754891e-50,2.8e-46,"< 2e-16","****","Wilcoxon"
"3707","weight","其他建材","食品",2.99429457654967e-06,0.008,"3.0e-06","****","Wilcoxon"
"3708","weight","其他建材","视听器材",2.92427614274988e-28,1.1e-24,"< 2e-16","****","Wilcoxon"
"3709","weight","其他建材","输变电设备",7.05426630556941e-15,2.4e-11,"7.1e-15","****","Wilcoxon"
"3710","weight","其他建材","水泥",1.94862281428217e-06,0.0053,"1.9e-06","****","Wilcoxon"
"3711","weight","其他建材","水务",0.00118434683467451,1,"0.00118","**","Wilcoxon"
"3712","weight","其他建材","陶瓷",5.91289094747051e-24,2.3e-20,"< 2e-16","****","Wilcoxon"
"3713","weight","其他建材","铁矿石",0.198393541949758,1,"0.19839","ns","Wilcoxon"
"3714","weight","其他建材","铁路设备",4.6617554176122e-15,1.6e-11,"4.7e-15","****","Wilcoxon"
"3715","weight","其他建材","通信设备",1.02054380014515e-26,3.9e-23,"< 2e-16","****","Wilcoxon"
"3716","weight","其他建材","通用设备",3.66305609879888e-08,0.00011,"3.7e-08","****","Wilcoxon"
"3717","weight","其他建材","卫星应用",3.98775705419839e-11,1.3e-07,"4.0e-11","****","Wilcoxon"
"3718","weight","其他建材","文娱用品",0.00690514231590702,1,"0.00691","**","Wilcoxon"
"3719","weight","其他建材","物流",3.22125819946607e-14,1.1e-10,"3.2e-14","****","Wilcoxon"
"3720","weight","其他建材","稀有金属",1.32917044468115e-14,4.5e-11,"1.3e-14","****","Wilcoxon"
"3721","weight","其他建材","橡胶制品",2.39002117390093e-31,9.5e-28,"< 2e-16","****","Wilcoxon"
"3722","weight","其他建材","消费电子设备",0.327038525628072,1,"0.32704","ns","Wilcoxon"
"3723","weight","其他建材","小家电",2.00378421916859e-40,8.1e-37,"< 2e-16","****","Wilcoxon"
"3724","weight","其他建材","休闲服务",0.519012323682617,1,"0.51901","ns","Wilcoxon"
"3725","weight","其他建材","医疗服务",0.109062122230949,1,"0.10906","ns","Wilcoxon"
"3726","weight","其他建材","医疗器械",7.62185770814474e-09,2.3e-05,"7.6e-09","****","Wilcoxon"
"3727","weight","其他建材","医药商业",1.55304698205049e-19,5.6e-16,"< 2e-16","****","Wilcoxon"
"3728","weight","其他建材","银行",0.596104495754914,1,"0.59610","ns","Wilcoxon"
"3729","weight","其他建材","饮料",0.0288430037662532,1,"0.02884","*","Wilcoxon"
"3730","weight","其他建材","营销服务",0.000116215040388829,0.28,"0.00012","***","Wilcoxon"
"3731","weight","其他建材","影视动漫",0.0346471570062483,1,"0.03465","*","Wilcoxon"
"3732","weight","其他建材","渔业",0.720543408065832,1,"0.72054","ns","Wilcoxon"
"3733","weight","其他建材","造纸印刷",2.60587278651571e-89,1.1e-85,"< 2e-16","****","Wilcoxon"
"3734","weight","其他建材","照明设备",4.07270736372973e-17,1.4e-13,"< 2e-16","****","Wilcoxon"
"3735","weight","其他建材","中药生产",0.000562204434278481,1,"0.00056","***","Wilcoxon"
"3736","weight","其他建材","珠宝首饰",5.51115757093575e-22,2.1e-18,"< 2e-16","****","Wilcoxon"
"3737","weight","其他建材","专业服务",1.0420179140796e-52,4.4e-49,"< 2e-16","****","Wilcoxon"
"3738","weight","其他建材","专用设备",2.19277842467285e-15,7.6e-12,"2.2e-15","****","Wilcoxon"
"3739","weight","其他建材","装修装饰",4.13648387236817e-11,1.3e-07,"4.1e-11","****","Wilcoxon"
"3740","weight","其他建材","综合",8.00682800106662e-22,3e-18,"< 2e-16","****","Wilcoxon"
"3741","weight","其他交运设备","其他轻工",0.125950127890694,1,"0.12595","ns","Wilcoxon"
"3742","weight","其他交运设备","汽车",0.169303046370623,1,"0.16930","ns","Wilcoxon"
"3743","weight","其他交运设备","燃气",0.00375257614137003,1,"0.00375","**","Wilcoxon"
"3744","weight","其他交运设备","商业物业经营",0.566994580621494,1,"0.56699","ns","Wilcoxon"
"3745","weight","其他交运设备","生物医药",4.52006502863604e-06,0.012,"4.5e-06","****","Wilcoxon"
"3746","weight","其他交运设备","石油天然气",0.0607497146013944,1,"0.06075","ns","Wilcoxon"
"3747","weight","其他交运设备","食品",1.22820733318902e-14,4.2e-11,"1.2e-14","****","Wilcoxon"
"3748","weight","其他交运设备","视听器材",9.81194507563764e-05,0.23,"9.8e-05","****","Wilcoxon"
"3749","weight","其他交运设备","输变电设备",0.175114286940196,1,"0.17511","ns","Wilcoxon"
"3750","weight","其他交运设备","水泥",0.210081542602223,1,"0.21008","ns","Wilcoxon"
"3751","weight","其他交运设备","水务",0.312990057896163,1,"0.31299","ns","Wilcoxon"
"3752","weight","其他交运设备","陶瓷",0.0010590054099815,1,"0.00106","**","Wilcoxon"
"3753","weight","其他交运设备","铁矿石",0.580360929878057,1,"0.58036","ns","Wilcoxon"
"3754","weight","其他交运设备","铁路设备",7.46797765382076e-06,0.019,"7.5e-06","****","Wilcoxon"
"3755","weight","其他交运设备","通信设备",0.0015714481254087,1,"0.00157","**","Wilcoxon"
"3756","weight","其他交运设备","通用设备",0.00506408912529836,1,"0.00506","**","Wilcoxon"
"3757","weight","其他交运设备","卫星应用",0.394272046865424,1,"0.39427","ns","Wilcoxon"
"3758","weight","其他交运设备","文娱用品",3.5142487051069e-07,0.00099,"3.5e-07","****","Wilcoxon"
"3759","weight","其他交运设备","物流",0.308718944090778,1,"0.30872","ns","Wilcoxon"
"3760","weight","其他交运设备","稀有金属",0.671386978075827,1,"0.67139","ns","Wilcoxon"
"3761","weight","其他交运设备","橡胶制品",0.0443149103585771,1,"0.04431","*","Wilcoxon"
"3762","weight","其他交运设备","消费电子设备",7.59260758193147e-07,0.0021,"7.6e-07","****","Wilcoxon"
"3763","weight","其他交运设备","小家电",0.000842170833264133,1,"0.00084","***","Wilcoxon"
"3764","weight","其他交运设备","休闲服务",0.31569063296381,1,"0.31569","ns","Wilcoxon"
"3765","weight","其他交运设备","医疗服务",1.25435646867179e-05,0.032,"1.3e-05","****","Wilcoxon"
"3766","weight","其他交运设备","医疗器械",0.00596044653629581,1,"0.00596","**","Wilcoxon"
"3767","weight","其他交运设备","医药商业",7.48320617491299e-26,2.9e-22,"< 2e-16","****","Wilcoxon"
"3768","weight","其他交运设备","银行",8.49656239004138e-06,0.022,"8.5e-06","****","Wilcoxon"
"3769","weight","其他交运设备","饮料",0.590956911573726,1,"0.59096","ns","Wilcoxon"
"3770","weight","其他交运设备","营销服务",0.718548659521102,1,"0.71855","ns","Wilcoxon"
"3771","weight","其他交运设备","影视动漫",0.000113133814354403,0.27,"0.00011","***","Wilcoxon"
"3772","weight","其他交运设备","渔业",0.24804441345152,1,"0.24804","ns","Wilcoxon"
"3773","weight","其他交运设备","造纸印刷",3.50668606576484e-06,0.0093,"3.5e-06","****","Wilcoxon"
"3774","weight","其他交运设备","照明设备",0.00419993621290081,1,"0.00420","**","Wilcoxon"
"3775","weight","其他交运设备","中药生产",1.3321358568429e-12,4.4e-09,"1.3e-12","****","Wilcoxon"
"3776","weight","其他交运设备","珠宝首饰",2.89203144285535e-18,1e-14,"< 2e-16","****","Wilcoxon"
"3777","weight","其他交运设备","专业服务",0.0144975484267302,1,"0.01450","*","Wilcoxon"
"3778","weight","其他交运设备","专用设备",0.0365083502825664,1,"0.03651","*","Wilcoxon"
"3779","weight","其他交运设备","装修装饰",0.336684848384542,1,"0.33668","ns","Wilcoxon"
"3780","weight","其他交运设备","综合",0.00645768359306568,1,"0.00646","**","Wilcoxon"
"3781","weight","其他轻工","汽车",0.218709573495974,1,"0.21871","ns","Wilcoxon"
"3782","weight","其他轻工","燃气",0.01225026762548,1,"0.01225","*","Wilcoxon"
"3783","weight","其他轻工","商业物业经营",0.0754577268858872,1,"0.07546","ns","Wilcoxon"
"3784","weight","其他轻工","生物医药",0.00159435306517964,1,"0.00159","**","Wilcoxon"
"3785","weight","其他轻工","石油天然气",0.172049234022997,1,"0.17205","ns","Wilcoxon"
"3786","weight","其他轻工","食品",0.000127824701016363,0.3,"0.00013","***","Wilcoxon"
"3787","weight","其他轻工","视听器材",0.764786152524505,1,"0.76479","ns","Wilcoxon"
"3788","weight","其他轻工","输变电设备",0.141659578884641,1,"0.14166","ns","Wilcoxon"
"3789","weight","其他轻工","水泥",0.0247206171369425,1,"0.02472","*","Wilcoxon"
"3790","weight","其他轻工","水务",0.140702133894128,1,"0.14070","ns","Wilcoxon"
"3791","weight","其他轻工","陶瓷",0.847931022058088,1,"0.84793","ns","Wilcoxon"
"3792","weight","其他轻工","铁矿石",0.650756830989588,1,"0.65076","ns","Wilcoxon"
"3793","weight","其他轻工","铁路设备",0.48606760208721,1,"0.48607","ns","Wilcoxon"
"3794","weight","其他轻工","通信设备",0.689024397703146,1,"0.68902","ns","Wilcoxon"
"3795","weight","其他轻工","通用设备",0.0273379999634472,1,"0.02734","*","Wilcoxon"
"3796","weight","其他轻工","卫星应用",0.070757921574713,1,"0.07076","ns","Wilcoxon"
"3797","weight","其他轻工","文娱用品",0.0012246083349625,1,"0.00122","**","Wilcoxon"
"3798","weight","其他轻工","物流",0.0669111609072541,1,"0.06691","ns","Wilcoxon"
"3799","weight","其他轻工","稀有金属",0.0517543228138024,1,"0.05175","ns","Wilcoxon"
"3800","weight","其他轻工","橡胶制品",0.515382909615322,1,"0.51538","ns","Wilcoxon"
"3801","weight","其他轻工","消费电子设备",0.000562257853741088,1,"0.00056","***","Wilcoxon"
"3802","weight","其他轻工","小家电",0.317951067906238,1,"0.31795","ns","Wilcoxon"
"3803","weight","其他轻工","休闲服务",0.318092889775071,1,"0.31809","ns","Wilcoxon"
"3804","weight","其他轻工","医疗服务",0.00030737816686753,0.7,"0.00031","***","Wilcoxon"
"3805","weight","其他轻工","医疗器械",0.00668807070392533,1,"0.00669","**","Wilcoxon"
"3806","weight","其他轻工","医药商业",8.27512716508513e-07,0.0023,"8.3e-07","****","Wilcoxon"
"3807","weight","其他轻工","银行",0.000740042481866436,1,"0.00074","***","Wilcoxon"
"3808","weight","其他轻工","饮料",0.135477466794879,1,"0.13548","ns","Wilcoxon"
"3809","weight","其他轻工","营销服务",0.141535926000198,1,"0.14154","ns","Wilcoxon"
"3810","weight","其他轻工","影视动漫",0.000393701356274182,0.89,"0.00039","***","Wilcoxon"
"3811","weight","其他轻工","渔业",0.290327166284732,1,"0.29033","ns","Wilcoxon"
"3812","weight","其他轻工","造纸印刷",0.92760482660314,1,"0.92760","ns","Wilcoxon"
"3813","weight","其他轻工","照明设备",0.953181217521409,1,"0.95318","ns","Wilcoxon"
"3814","weight","其他轻工","中药生产",4.90005256203555e-05,0.12,"4.9e-05","****","Wilcoxon"
"3815","weight","其他轻工","珠宝首饰",6.59751482885135e-12,2.2e-08,"6.6e-12","****","Wilcoxon"
"3816","weight","其他轻工","专业服务",0.526722826304759,1,"0.52672","ns","Wilcoxon"
"3817","weight","其他轻工","专用设备",0.0197226784916769,1,"0.01972","*","Wilcoxon"
"3818","weight","其他轻工","装修装饰",0.205949222084912,1,"0.20595","ns","Wilcoxon"
"3819","weight","其他轻工","综合",0.370917015153345,1,"0.37092","ns","Wilcoxon"
"3820","weight","汽车","燃气",2.83849209450223e-07,8e-04,"2.8e-07","****","Wilcoxon"
"3821","weight","汽车","商业物业经营",0.318539397326825,1,"0.31854","ns","Wilcoxon"
"3822","weight","汽车","生物医药",5.73823810474942e-08,0.00017,"5.7e-08","****","Wilcoxon"
"3823","weight","汽车","石油天然气",0.805607081012706,1,"0.80561","ns","Wilcoxon"
"3824","weight","汽车","食品",1.20367898781804e-92,5.3e-89,"< 2e-16","****","Wilcoxon"
"3825","weight","汽车","视听器材",8.75342487919191e-06,0.023,"8.8e-06","****","Wilcoxon"
"3826","weight","汽车","输变电设备",6.71051498261419e-07,0.0019,"6.7e-07","****","Wilcoxon"
"3827","weight","汽车","水泥",9.50312786967807e-05,0.23,"9.5e-05","****","Wilcoxon"
"3828","weight","汽车","水务",0.0753339167112728,1,"0.07533","ns","Wilcoxon"
"3829","weight","汽车","陶瓷",0.00140445374894728,1,"0.00140","**","Wilcoxon"
"3830","weight","汽车","铁矿石",0.51481188427873,1,"0.51481","ns","Wilcoxon"
"3831","weight","汽车","铁路设备",3.29145067866027e-05,0.082,"3.3e-05","****","Wilcoxon"
"3832","weight","汽车","通信设备",0.000695545672511178,1,"0.00070","***","Wilcoxon"
"3833","weight","汽车","通用设备",3.71572970770652e-61,1.6e-57,"< 2e-16","****","Wilcoxon"
"3834","weight","汽车","卫星应用",0.519107059297864,1,"0.51911","ns","Wilcoxon"
"3835","weight","汽车","文娱用品",3.87428366304452e-08,0.00011,"3.9e-08","****","Wilcoxon"
"3836","weight","汽车","物流",1.74516870403184e-05,0.044,"1.7e-05","****","Wilcoxon"
"3837","weight","汽车","稀有金属",0.000856757663076682,1,"0.00086","***","Wilcoxon"
